"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","setup","Default Suite","Sat Jan 18 23:44:37 MSK 2025","broken","Sat Jan 18 23:44:37 MSK 2025","tests.LoginTests","Diplom-3","tests.LoginTests","setup"
"","1","Вход по кнопке «Войти в аккаунт» на главной","Default Suite","Sat Jan 18 23:44:37 MSK 2025","skipped","Sat Jan 18 23:44:37 MSK 2025","tests.LoginTests","Diplom-3","tests.LoginTests","testLoginFromMainPage"
